Weight,Color,Class
174.6570751312567,red,apple
152.61141204714514,yellow,banana
141.02977948602398,yellow,banana
152.75282329606506,red,apple
90.37293256197322,orange,orange
143.40984336487463,red,apple
160.71337714535238,yellow,unknown
194.33682134224549,red,unknown
134.45189345179057,yellow,banana
125.74519191320437,yellow,banana
134.9472886924639,orange,orange
177.46206353106223,yellow,unknown
159.86253328979052,yellow,banana
134.10719388698882,orange,orange
165.39802299340067,yellow,unknown
152.9123264804412,orange,orange
179.05934971598668,orange,orange
128.93840718367943,yellow,banana
140.17013560206695,yellow,banana
138.2367554060353,red,apple
106.09455155603644,orange,orange
158.88360831193728,red,apple
157.83165816539668,yellow,banana
150.15340369927384,red,apple
142.9623859987456,orange,orange
107.53887773848757,red,apple
137.38064031703922,orange,orange
139.7185645041969,yellow,banana
125.93168192335143,yellow,banana
145.16142865001973,orange,orange
162.12152570443615,yellow,unknown
206.5855770363159,yellow,unknown
155.23733438495518,yellow,banana
157.72651172168293,yellow,banana
147.766622527015,orange,orange
92.43686354102876,red,apple
149.2045837365235,red,apple
151.80690629823079,yellow,banana
223.89726337455858,red,unknown
144.22917105656632,red,apple
159.04642027000838,yellow,banana
148.9586469088427,yellow,banana
114.93965887141404,red,apple
184.28468443545063,orange,orange
172.55799098060322,yellow,unknown
173.7309584112914,orange,orange
122.71837635615783,red,apple
192.08382932808297,yellow,unknown
107.94446811623158,orange,orange
167.60571281400811,yellow,unknown
215.71366877429935,red,unknown
120.28391024607936,orange,orange
133.01106811191684,red,apple
152.98954095262923,red,apple
134.89573037651402,yellow,banana
103.48009706801602,orange,orange
152.0568892441808,red,apple
118.13088858821686,red,apple
164.20777291905546,orange,orange
122.4172729729859,red,apple
196.49803215052617,red,unknown
126.50240122991289,orange,orange
140.33815451382972,orange,orange
174.40551652109008,orange,orange
113.07407050698134,orange,orange
156.82379803812387,yellow,banana
189.21428262847286,orange,orange
101.77550296316318,yellow,banana
155.53901575596913,yellow,banana
157.7964838274527,yellow,banana
173.4546861533193,red,apple
112.89147867365755,yellow,banana
110.38630160747171,yellow,banana
165.65824696850694,red,apple
158.90954019699558,red,apple
157.5147855103763,red,apple
160.39344628490926,orange,orange
129.59925835264528,red,apple
156.96761091483012,red,apple
158.79217419896042,yellow,banana
128.56945745920896,red,apple
205.9732353343427,orange,orange
164.21498762735362,red,apple
114.26089508392054,orange,orange
169.69660825901488,red,apple
120.75954989318035,red,apple
173.61253811227357,red,apple
184.75786737022213,red,unknown
125.37953044944868,orange,orange
178.90128387732966,orange,orange
162.38342780809495,yellow,unknown
174.6618047998347,orange,orange
206.9037894796184,red,unknown
142.63835651991388,yellow,banana
127.38791506927531,yellow,banana
123.3145671112343,yellow,banana
125.52569145103685,red,apple
147.68694871757688,orange,orange
160.2345592444993,red,apple
158.30072397990057,yellow,banana
174.8154974710807,red,apple
150.3900567563372,red,apple
193.6060223147195,orange,orange
142.06029500286132,orange,orange
231.60507499768858,yellow,unknown
168.7700204329502,red,apple
124.28527330751152,red,apple
117.87322505816664,orange,orange
164.47417245729557,red,apple
143.29611644022447,red,apple
171.42001482276277,red,apple
164.19712873720636,orange,orange
147.8151326202938,yellow,banana
124.59618845794785,yellow,banana
104.55458325942406,red,apple
136.60455143798936,yellow,banana
175.69196382970418,orange,orange
156.42281232390613,orange,orange
112.62783663864036,yellow,banana
155.19542777553545,yellow,banana
161.5595213918651,red,apple
123.48427691396601,yellow,banana
154.61175317836583,red,apple
151.74626155338,red,apple
115.71089106508131,orange,orange
160.73362081044849,orange,orange
166.82353579104702,orange,orange
182.4915372952583,orange,orange
181.6140615610471,yellow,unknown
108.66991896128727,orange,orange
121.86524880254632,yellow,banana
165.4510580162598,orange,orange
165.41357852736627,yellow,unknown
165.45143058918143,red,apple
265.5819447196416,yellow,unknown
167.126715320795,yellow,unknown
184.06696920541796,orange,orange
178.62005290479607,yellow,unknown
169.54173753917394,red,apple
140.54192266078962,red,apple
172.76907661479802,orange,orange
126.81524356387285,red,apple
142.89544179779972,yellow,banana
135.43909356512688,red,apple
152.45622418158968,orange,orange
219.43975700020525,yellow,unknown
93.98204422224757,orange,orange
170.5878057112354,yellow,unknown
101.61852386431045,red,apple
135.84204402631698,orange,orange
182.66851790902098,orange,orange
151.9284005728639,yellow,banana
117.66765666212082,orange,orange
128.54088872220095,yellow,banana
170.38793246804028,yellow,unknown
128.0890010484859,yellow,banana
156.49375768745924,yellow,banana
151.3671551971144,red,apple
130.4519895718255,yellow,banana
214.31832267975977,orange,orange
169.01757066954033,red,apple
89.24572240027179,orange,orange
155.59362944308282,red,apple
130.14640605694836,yellow,banana
175.5730000438867,red,apple
126.22437784701899,red,apple
146.55790675599303,orange,orange
165.1496183694137,orange,orange
175.97265582510363,yellow,unknown
113.99110778832672,red,apple
139.96496292477156,red,apple
135.75164066517132,red,apple
130.40012302278865,yellow,banana
202.9636272084329,yellow,unknown
162.14945132882866,yellow,unknown
112.17348136994865,yellow,banana
177.5358584116433,yellow,unknown
213.664685910379,orange,orange
180.9739578165344,red,unknown
104.4189010213796,red,apple
135.47297781401247,red,apple
188.00733447559867,red,unknown
128.76991603143657,red,apple
163.31458284438685,red,apple
173.23902160288011,red,apple
122.19208585265751,red,apple
148.21423931814599,orange,orange
52.76197979792782,red,apple
119.2683707599713,orange,orange
142.4229554582052,yellow,banana
112.56650454105451,red,apple
198.97233911794905,yellow,unknown
107.09575866118102,yellow,banana
136.79866539909048,yellow,banana
153.92221731858274,orange,orange
193.23819867198347,yellow,unknown
106.92413546461682,yellow,banana
184.8949125646488,yellow,unknown
150.3069918305876,red,apple
120.55474046856148,red,apple
163.86310422789813,orange,orange
155.9717908672041,orange,orange
131.99349368523616,red,apple
152.09406254970057,orange,orange
138.4405920941472,red,apple
153.40552035753745,yellow,banana
169.8639202356314,yellow,unknown
197.58050448436057,orange,orange
112.86553503519453,red,apple
213.991001239688,red,unknown
91.43736601432494,orange,orange
145.4464471489325,red,apple
167.64951619453728,yellow,unknown
158.429756032051,orange,orange
131.31901440538218,orange,orange
143.75633248928173,red,apple
135.209971960235,orange,orange
132.31905729167366,red,apple
175.48806291063073,red,apple
160.71046457895142,red,apple
129.21271214218038,red,apple
176.9879962629975,red,apple
159.2189856262983,orange,orange
174.3858635651688,yellow,unknown
168.88886525770837,yellow,unknown
125.13014967233784,orange,orange
133.1945687940909,orange,orange
172.41880815369785,yellow,unknown
168.31110796300393,yellow,unknown
149.37295218107556,yellow,banana
153.51982149926346,yellow,banana
188.32994687365274,yellow,unknown
132.2528583349251,red,apple
166.41292143510114,orange,orange
143.9342204269832,red,apple
143.4695639031834,yellow,banana
182.96330555961572,yellow,unknown
174.7624904696409,yellow,unknown
174.40528908001914,red,apple
189.16436421462987,red,unknown
150.63011524898278,yellow,banana
170.4585891388489,red,apple
140.6919973021963,red,apple
159.72499057465328,yellow,banana
146.09570836896947,red,apple
152.90987894978156,orange,orange
167.85471076310742,orange,orange
125.45337950299583,orange,orange
212.7716182705638,orange,orange
119.81947855500894,yellow,banana
113.57434161636803,yellow,banana
184.74332620500203,yellow,unknown
173.74988081888807,orange,orange
168.72359451156467,orange,orange
168.8503652779284,red,apple
149.63259681459257,red,apple
123.08236885542505,orange,orange
152.2741367458118,orange,orange
129.68514865463663,orange,orange
179.25359200253254,orange,orange
145.58827855493584,red,apple
125.23508409622465,orange,orange
140.3584247504102,red,apple
162.38794362826872,orange,orange
133.08826341588076,orange,orange
125.33338813300705,orange,orange
157.31061634475736,red,apple
157.3489971332617,red,apple
134.79170473886612,yellow,banana
135.86885083145032,orange,orange
156.9614981207291,yellow,banana
106.55746975508028,yellow,banana
107.77608676870335,red,apple
128.4466733624269,red,apple
143.5965854486446,yellow,banana
159.32722696794013,orange,orange
194.26068650848657,red,unknown
175.72978869606058,orange,orange
145.20184410109718,orange,orange
149.42951376291933,yellow,banana
119.92411906086573,yellow,banana
149.4446059202283,yellow,banana
141.34024083239586,yellow,banana
159.6815568101427,red,apple
125.1830716934303,red,apple
165.58039542723517,yellow,unknown
195.98216739007734,red,unknown
146.73719554629426,yellow,banana
162.05135166296824,orange,orange
170.70431975133337,orange,orange
137.9633858434249,orange,orange
156.7227744543125,yellow,banana
150.37777202345384,orange,orange
152.93028295646496,red,apple
126.809706484336,orange,orange
150.7353052277683,orange,orange
164.9399487373635,orange,orange
193.53430823385125,red,unknown
178.7781247825562,yellow,unknown
214.5954737253467,red,unknown
126.97957311335851,yellow,banana
176.16961910162036,yellow,unknown
155.50026017215055,orange,orange
215.6940879965302,yellow,unknown
125.75105143934546,red,apple
124.80834473457672,red,apple
132.01822063667933,yellow,banana
86.28312827070579,orange,orange
134.22734934957717,orange,orange
127.22602015338906,red,apple
154.51181359428622,orange,orange
160.25267927331478,yellow,unknown
206.28512517647658,yellow,unknown
178.5127151455815,red,apple
132.6928903301279,yellow,banana
123.04755985954927,red,apple
164.75757514519518,yellow,unknown
110.39300378938074,red,apple
204.94376297563062,orange,orange
185.38320362163861,yellow,unknown
135.92473043685885,yellow,banana
98.60596412727367,red,apple
190.6161712249624,red,unknown
146.56380464242147,yellow,banana
187.13448935920385,red,unknown
102.16717023616899,yellow,banana
132.0187493113868,orange,orange
150.1573109915455,red,apple
151.40941781294225,yellow,banana
136.4980358556227,orange,orange
168.68549797042496,orange,orange
117.97138711852216,yellow,banana
145.7286154493612,red,apple
153.60886895135695,yellow,banana
165.43316502176248,orange,orange
171.3484463426667,yellow,unknown
116.26073724486392,red,apple
103.97657487793134,orange,orange
188.33030465695526,yellow,unknown
159.96942035938775,red,apple
127.5454039033034,orange,orange
196.53455926567568,red,unknown
153.47023902878576,orange,orange
185.3789155219148,yellow,unknown
152.02555444230327,red,apple
211.82243774645963,orange,orange
202.66022527329613,red,unknown
142.5310755456278,red,apple
179.14712852863067,yellow,unknown
169.36127848755442,red,apple
191.05894672597046,orange,orange
121.05229618259686,orange,orange
170.58154379995318,orange,orange
181.75273460548763,orange,orange
97.23781540730657,yellow,banana
114.50224462002674,red,apple
88.82303466719699,yellow,banana
141.91779496666328,red,apple
171.52626767387886,red,apple
195.07071156288083,red,unknown
152.22284341259325,yellow,banana
198.85846636713876,red,unknown
108.59695625355326,yellow,banana
98.89852681934536,orange,orange
148.33356903310144,orange,orange
161.52196346817922,red,apple
149.0191575571772,yellow,banana
87.9767369988037,orange,orange
147.32639881461634,yellow,banana
110.86591498485441,yellow,banana
170.09017646490116,red,apple
160.99794738290544,orange,orange
121.80360641017934,red,apple
134.5839924798992,red,apple
118.22359434333146,orange,orange
148.11962708180485,orange,orange
178.65426961503715,yellow,unknown
120.42821860993368,orange,orange
165.12139546553533,yellow,unknown
134.09227144882678,yellow,banana
126.21381503212967,yellow,banana
146.78908920136325,orange,orange
118.94273032741879,red,apple
133.39052083958455,yellow,banana
114.06366322233455,red,apple
208.94175398749167,red,unknown
151.05790655915186,orange,orange
129.00823476022242,red,apple
156.41939732202667,red,apple
146.6301585092751,orange,orange
143.37091201400332,yellow,banana
168.42500100130275,red,apple
172.72523130141914,orange,orange
134.08496557168417,red,apple
132.7254527806596,red,apple
141.7484490854507,yellow,banana
80.94236505793245,red,apple
104.54426813404343,orange,orange
191.00622802333572,red,unknown
199.34903140503852,yellow,unknown
142.52891881330865,yellow,banana
167.296708891673,orange,orange
159.33750463630608,yellow,banana
242.36642425365713,red,unknown
183.5872473430373,yellow,unknown
146.162472255577,orange,orange
121.33378678198723,yellow,banana
101.80661039227283,yellow,banana
156.1039090760167,yellow,banana
127.30947764147089,orange,orange
107.33238871206977,yellow,banana
130.6028134727242,yellow,banana
117.55355989156814,red,apple
200.61424905217694,orange,orange
176.4491927084835,yellow,unknown
149.76082076050147,orange,orange
194.39832416670077,yellow,unknown
152.32104922942855,yellow,banana
124.1614739601521,yellow,banana
195.69372231808973,red,unknown
166.16730131053976,red,apple
118.88261537020631,red,apple
144.28983965749177,orange,orange
123.7314523984573,orange,orange
108.51600807106992,red,apple
177.78532642594925,orange,orange
207.28249921410392,yellow,unknown
108.04297278542576,yellow,banana
166.88907710071712,yellow,unknown
130.48072292634518,red,apple
135.38623848705913,orange,orange
132.22818227283392,red,apple
124.08027690960552,orange,orange
151.4556488383448,yellow,banana
125.07149650766887,red,apple
158.11370477339517,orange,orange
148.4928567165259,orange,orange
142.8315585940077,yellow,banana
122.77309013875207,red,apple
132.69686008295002,red,apple
172.6617367747727,red,apple
165.0275156287314,yellow,unknown
120.67334265604347,red,apple
152.97996916287678,yellow,banana
172.54161370115366,yellow,unknown
99.91784156635885,yellow,banana
166.30080577139805,orange,orange
130.1212872316246,red,apple
167.1179600577948,red,apple
127.1022253037245,yellow,banana
95.85353698006443,yellow,banana
101.17372686350512,red,apple
151.44254839984146,yellow,banana
157.79167505164446,red,apple
122.87050124686775,orange,orange
169.15777376332122,yellow,unknown
100.1543981319312,red,apple
148.0176060405805,yellow,banana
113.66951400712631,red,apple
130.44491676593523,red,apple
151.42196013949243,yellow,banana
124.18759904148143,orange,orange
138.46333367310524,red,apple
180.1887842764332,red,unknown
132.69324391430553,red,apple
175.07076336195425,orange,orange
116.10879436027146,orange,orange
165.8941253374585,yellow,unknown
193.247058619737,orange,orange
75.85066499618132,yellow,banana
126.09314233588569,yellow,banana
167.3121638154162,orange,orange
143.9086384187102,yellow,banana
161.13437620113928,orange,orange
131.88044439852538,yellow,banana
152.597693624187,orange,orange
145.32968293823762,orange,orange
185.0334618497942,yellow,unknown
157.6326252990364,red,apple
160.12807986225607,yellow,unknown
137.643691016326,orange,orange
135.3718132778252,red,apple
137.02325436541136,yellow,banana
161.8335642713489,yellow,unknown
137.3704655753921,yellow,banana
158.69324570689238,red,apple
212.26202395936315,orange,orange
176.13374110295078,yellow,unknown
140.21929403496478,yellow,banana
186.03641766491836,yellow,unknown
137.75773880935347,yellow,banana
88.85626394466439,yellow,banana
119.75741067247787,orange,orange
93.87624236922433,orange,orange
139.45459547876075,yellow,banana
150.55255137568656,red,apple
200.2931193682585,orange,orange
159.8078212129249,red,apple
143.42698413573407,orange,orange
174.88216743550467,yellow,unknown
83.66594072976345,orange,orange
157.06843674325697,yellow,banana
173.125955816609,orange,orange
105.64241262660475,yellow,banana
184.31262129620788,yellow,unknown
160.15489222483242,yellow,unknown
137.54136258297595,yellow,banana
168.98345598318855,red,apple
218.12078573413186,yellow,unknown
155.45598765175487,red,apple
157.4466175890101,red,apple
136.21917301379267,yellow,banana
124.50466891605625,red,apple
174.91007449632735,orange,orange
124.31748522273398,yellow,banana
152.14698711658178,red,apple
135.6702765970465,yellow,banana
164.36939477239176,yellow,unknown
160.00986315860845,yellow,unknown
181.12619832773697,red,unknown
134.6995080343576,orange,orange
141.90375194119886,orange,orange
120.63708852653077,red,apple
136.67120219771664,yellow,banana
161.31901479134558,red,apple
172.70965849936056,red,apple
122.33504027467123,red,apple
176.0881776031698,yellow,unknown
190.66913576414854,red,unknown
162.40304709671102,yellow,unknown
206.303874376742,red,unknown
126.78632402689281,orange,orange
112.66035890065749,red,apple
96.63839253287165,red,apple
194.8813293446755,orange,orange
169.63096969062173,yellow,unknown
148.33245987268634,yellow,banana
158.39905878959462,red,apple
116.2353285810487,orange,orange
223.37255938850478,yellow,unknown
153.87663545925682,red,apple
153.28184383814678,orange,orange
171.77299871696076,yellow,unknown
164.4302769521014,yellow,unknown
156.71652072837395,orange,orange
126.28576633664065,orange,orange
164.14405071407987,orange,orange
206.460734894251,orange,orange
190.36260138464934,red,unknown
197.7955987991819,orange,orange
134.66352970706444,yellow,banana
120.31185539224258,yellow,banana
146.22639239701056,red,apple
151.67174736866085,yellow,banana
182.82574555412845,yellow,unknown
99.22606110855543,orange,orange
195.8865095838184,yellow,unknown
145.2597630426303,red,apple
137.1935679015774,orange,orange
119.63686874219498,orange,orange
100.35429984402691,red,apple
174.69511751885744,orange,orange
152.1995390156521,orange,orange
111.30117300776838,red,apple
111.14763683809151,orange,orange
139.92645902129615,red,apple
200.0706457586818,red,unknown
142.21225945909185,yellow,banana
104.90571140645682,yellow,banana
142.62770807742166,orange,orange
141.81829290756988,orange,orange
69.09340071175285,red,apple
148.37115400446564,orange,orange
143.07196409373967,red,apple
170.88619094440256,red,apple
205.46868284836034,orange,orange
183.79695088643274,red,unknown
141.93333928335508,yellow,banana
116.80422273774988,orange,orange
227.20079409749582,yellow,unknown
151.77655302043465,orange,orange
150.4178787573884,red,apple
149.2762473866999,orange,orange
155.94254282303564,yellow,banana
145.6691876422817,red,apple
132.7901397935929,orange,orange
133.59423176278824,orange,orange
149.01740189352006,orange,orange
133.69725686598704,yellow,banana
128.61462651968506,yellow,banana
153.1929068307569,orange,orange
142.35068347737433,red,apple
195.11978965748065,red,unknown
70.47090574820965,yellow,banana
182.74520555767384,red,unknown
187.38255577492887,yellow,unknown
87.79829302775552,orange,orange
139.71937217758955,yellow,banana
138.85677402012627,yellow,banana
107.77464915846537,orange,orange
126.66549937227374,red,apple
116.68272463602514,yellow,banana
202.5681133027087,yellow,unknown
178.07035179442383,orange,orange
188.14665284982476,red,unknown
171.65016192129707,yellow,unknown
116.12844686348312,orange,orange
134.2643920116068,yellow,banana
164.68123683683754,orange,orange
113.33616573324164,red,apple
171.38995290517164,red,apple
142.79023805525594,red,apple
138.75537577351207,red,apple
171.32879904610473,yellow,unknown
163.3278993445812,yellow,unknown
139.1710150254276,red,apple
184.77989410092744,red,unknown
117.56810017200308,red,apple
168.4780682083279,yellow,unknown
167.7930377390515,red,apple
140.71360682058028,red,apple
159.78399066726354,red,apple
112.46659270844091,orange,orange
177.72081057620704,red,apple
144.45293590671034,orange,orange
134.3183093844288,orange,orange
181.47027677510667,red,unknown
128.8696892837172,orange,orange
107.74616110909321,red,apple
103.30112479428288,yellow,banana
168.1802985403692,yellow,unknown
111.58711942511151,yellow,banana
202.64382545953094,yellow,unknown
87.54211776348833,orange,orange
200.89369104870116,red,unknown
156.33052401607856,red,apple
147.09860664388822,red,apple
133.6524273957315,yellow,banana
161.97408343056213,yellow,unknown
148.87095892725455,red,apple
183.09905646049566,yellow,unknown
153.42682945986118,red,apple
154.50905284385632,red,apple
139.09163363358434,red,apple
148.29163128836797,red,apple
159.2340530667618,red,apple
98.69494822030123,red,apple
109.55443733682861,red,apple
172.29792282068144,yellow,unknown
155.12596314383825,red,apple
144.48049990941962,red,apple
150.55301799196178,yellow,banana
160.42745116085013,yellow,unknown
133.80720959071914,yellow,banana
126.65085823793062,red,apple
155.87535765293046,orange,orange
120.64881667154904,orange,orange
162.24758267143415,yellow,unknown
98.92249187286478,orange,orange
180.8746691197693,yellow,unknown
164.17792447239128,red,apple
157.68089202941627,orange,orange
179.48072951836542,red,apple
199.9642333338773,orange,orange
180.4311019505439,red,unknown
94.77377306005064,orange,orange
111.61269099792895,red,apple
131.25544266912965,red,apple
150.782731506325,orange,orange
165.5297706140737,red,apple
128.22768560539603,red,apple
155.60300293431234,red,apple
127.33851202940032,orange,orange
131.65446591024156,orange,orange
107.80016709455333,red,apple
122.30300261667287,red,apple
109.44946183150999,orange,orange
120.72380241068002,orange,orange
181.60925389823518,red,unknown
121.51803333504171,red,apple
228.97146194512172,red,unknown
164.79953702642666,yellow,unknown
155.54508371084623,orange,orange
124.2492665945636,yellow,banana
171.00929638226975,orange,orange
132.73086521286677,orange,orange
153.66029443936085,orange,orange
226.80253614806384,orange,orange
147.1182030082605,orange,orange
184.47819978857027,orange,orange
128.90470724622338,orange,orange
148.95034528509115,yellow,banana
203.1240190690653,red,unknown
131.190988266367,red,apple
204.37345673990785,yellow,unknown
171.23255806366427,yellow,unknown
133.12599672317197,yellow,banana
168.97223217166564,yellow,unknown
179.17663348880188,orange,orange
168.6542988665159,red,apple
102.89325840328631,orange,orange
128.18588472525394,red,apple
142.57444093345487,red,apple
147.7669971269986,yellow,banana
168.62016292652035,orange,orange
155.33103002799763,yellow,banana
109.93966923869696,orange,orange
161.4059355301789,red,apple
168.3175723585147,yellow,unknown
166.7937134379312,yellow,unknown
182.42342176663865,red,unknown
175.01766463646712,red,apple
163.7754023768531,red,apple
147.89502865624058,yellow,banana
100.17117199452025,orange,orange
162.88854657397758,yellow,unknown
156.23063061489333,orange,orange
158.1473651158612,yellow,banana
111.69754272539072,yellow,banana
117.56830378775213,red,apple
181.5945855999871,orange,orange
148.81334538430036,yellow,banana
170.44502092117872,yellow,unknown
150.84955128391383,red,apple
150.89268418487237,red,apple
178.14851417927994,orange,orange
134.51865815347878,yellow,banana
152.8836233082295,orange,orange
136.1317413388487,yellow,banana
136.96511317703053,orange,orange
140.7248362959408,red,apple
156.6640131490114,yellow,banana
135.6375413500957,orange,orange
187.67268376720563,red,unknown
123.16178093341489,red,apple
144.39385067515923,orange,orange
136.80806825177476,yellow,banana
193.409336530612,yellow,unknown
155.89664329534725,red,apple
180.95533618405904,yellow,unknown
105.43318880889083,yellow,banana
158.01150797607778,yellow,banana
176.6889238687031,red,apple
152.46851967826274,orange,orange
181.96441125196054,yellow,unknown
134.48134649698883,red,apple
192.2804232055674,red,unknown
218.9669437085775,orange,orange
139.11484318681022,yellow,banana
136.63492435797684,yellow,banana
193.60153431353103,orange,orange
197.38716437192136,orange,orange
134.31419918540195,red,apple
137.39439548712429,red,apple
141.5464617341848,orange,orange
109.66648466897169,yellow,banana
122.44044160547405,red,apple
119.87577699743797,red,apple
126.96607304687615,yellow,banana
148.95945337839657,red,apple
157.0264419760956,yellow,banana
196.5150147844223,yellow,unknown
120.04937877783627,yellow,banana
179.5296719542975,orange,orange
143.58033467323474,orange,orange
148.516088710427,orange,orange
170.2445847649981,yellow,unknown
116.31833935313105,yellow,banana
161.4722923855215,orange,orange
154.99356624639168,red,apple
164.77353792024448,yellow,unknown
158.67505931723454,red,apple
223.65900419732682,red,unknown
130.86780047246052,yellow,banana
134.07009134994547,yellow,banana
131.30578420725706,red,apple
133.33568642519236,red,apple
130.87838618080445,orange,orange
185.67049593322656,orange,orange
192.61512743969564,yellow,unknown
132.8776111875157,orange,orange
125.02933280687314,orange,orange
164.14246669159212,orange,orange
133.43330867157087,orange,orange
168.98795453266533,red,apple
156.08769062553898,yellow,banana
104.52767655008304,orange,orange
196.42515603990185,red,unknown
203.87633019286565,red,unknown
131.61633928546843,red,apple
138.36895320192048,orange,orange
158.57596172174715,orange,orange
160.03370369961075,yellow,unknown
169.7563281801849,orange,orange
210.3061361629905,orange,orange
144.69158317517852,red,apple
126.05108266384639,yellow,banana
108.62042315956418,orange,orange
128.0720988017424,orange,orange
149.00619081378608,red,apple
203.83673590553363,red,unknown
134.47166102891487,orange,orange
156.71363854916694,yellow,banana
149.50731311781743,yellow,banana
185.65179820344252,red,unknown
225.80797277620866,red,unknown
134.07393681239037,orange,orange
135.31681672445333,red,apple
181.32482631207216,orange,orange
170.45674468878934,yellow,unknown
205.401219772081,yellow,unknown
167.51784555977892,orange,orange
139.22123727638822,red,apple
167.71964492076927,yellow,unknown
183.26110741748724,red,unknown
174.61446543592092,yellow,unknown
165.21822093321893,orange,orange
182.00024068767462,orange,orange
185.0788677133702,orange,orange
191.4647697311258,yellow,unknown
169.46129662768928,red,apple
144.98645759049438,red,apple
154.4014105929997,red,apple
186.1952689952507,yellow,unknown
125.49192987038292,yellow,banana
161.06019926618703,yellow,unknown
138.19983563017917,yellow,banana
150.86234468804452,yellow,banana
188.35355587821897,red,unknown
155.7329720405971,yellow,banana
151.39309644468446,yellow,banana
109.20431577060242,red,apple
172.38760698081663,yellow,unknown
169.36452543423226,red,apple
214.8976416991638,red,unknown
140.76665295140998,orange,orange
156.57450982991816,orange,orange
157.48151051132265,orange,orange
197.32359839290422,orange,orange
147.14113402839143,yellow,banana
158.37064577311017,orange,orange
168.23689529149618,red,apple
155.59827369469073,yellow,banana
136.60699156348414,orange,orange
155.82269978694922,red,apple
182.20895249579317,yellow,unknown
119.20454101766819,yellow,banana
153.98909022440628,orange,orange
128.9963755518248,yellow,banana
185.85139886774527,red,unknown
104.30439285648676,yellow,banana
133.23234458185235,red,apple
161.31635625193562,yellow,unknown
196.9657208770302,orange,orange
148.02749216781038,red,apple
133.34401419920405,yellow,banana
206.4347120832177,yellow,unknown
106.55958298751267,yellow,banana
84.03582130139755,red,apple
163.20043350159997,red,apple
134.93837326942167,red,apple
119.36301548607861,orange,orange
171.2506934189806,orange,orange
157.31402141313598,red,apple
133.07764107789814,yellow,banana
111.59086803987316,orange,orange
176.17371984840435,red,apple
169.50603533875983,yellow,unknown
147.0247240866185,orange,orange
205.39910988142998,yellow,unknown
117.89745701021542,yellow,banana
104.23424487225783,yellow,banana
129.24275790356268,yellow,banana
148.63241950933508,orange,orange
157.30018347968075,orange,orange
142.76291826431012,orange,orange
160.5616618954289,red,apple
112.45381727428668,orange,orange
193.31293812219778,yellow,unknown
147.53546464822293,orange,orange
183.51887494764384,yellow,unknown
160.28176039133112,red,apple
163.70259657461352,yellow,unknown
167.0930184069661,yellow,unknown
163.43125680051946,yellow,unknown
169.2816827960263,red,apple
189.87457590397293,orange,orange
155.8956350910441,orange,orange
171.27011272765537,red,apple
147.3079291713832,yellow,banana
193.2035164634842,orange,orange
129.7082309382219,red,apple
204.02821298732448,orange,orange
148.7952614806697,red,apple
107.07674693645856,yellow,banana
153.84313244732368,orange,orange
129.56845027575358,red,apple
175.21930646966172,orange,orange
130.42128062092826,orange,orange
136.6144970035566,orange,orange
93.31377807163406,orange,orange
136.4308104225277,red,apple
77.2836202011313,yellow,banana
102.4829152954283,red,apple
172.81243968432892,red,apple
173.57400475952497,red,apple
162.76372685354895,yellow,unknown
120.99071570612361,orange,orange
148.5686593157406,orange,orange
149.89192382728294,orange,orange
